child_count,has_hallucination,node_index,severity,unsupported_claims
7,True,200,minor,"[""가상 환경에서 AI 가속기가 관계와 입력을 바탕으로 복수의 외관을 생성한다는 내용은 child text의 마지막 문장이 'The AI accelerator can'에서 끊겨 있어 뒷받침되지 않습니다."", ""특허 묶음이 '가상 환경 생성 기술'을 다룬다는 표현은 child text에서 호스트가 관계를 정의하고 외관 선호 입력을 AI 가속기에 제공한다는 부분까지만 확인되며, 가상 환경 자체를 생성한다는 근거는 부족합니다."", ""전체 목적 중 '가상 환경 내 외관 생성 자동화'는 child text에서 외관 생성 동작이 제시되지 않아 뒷받침되지 않습니다.""]"
1,True,201,minor,"[""복잡한 다변수 논리 처리나 신호 생성을 메모리 내부에서 효율적으로 처리한다는 효과는 child text의 '하나의 동시 읽기 연산으로 수행 가능'이라는 장점에서 일부 추론될 수는 있으나, '복잡한', '메모리 내부', '효율적 처리'가 명시적으로 뒷받침되지는 않습니다.""]"
23,True,202,major,"[""Zener 다이오드 내장 구조가 포함된다는 주장"", ""CAM/검색 회로용 매치라인 구동 구조가 포함된다는 주장"", ""SDB 영역의 산화막 손실 저감 공정이 제안된다는 주장"", ""응력 보강 표면 확산을 이용한 원자 수준 표면 평탄화가 제안된다는 주장"", ""레이저 박리층과 열확산층을 이용한 기판 박리 기술이 제안된다는 주장"", ""반도체 박막층 전사 및 본딩 기술이 제안된다는 주장"", ""구조적 구성에 싱커층, 컬럼 영역, 도전성 플러그, 재배선 구조물, 브릿지 칩, 관통 전극이 포함된다는 주장"", ""큰 로직 칩의 열 특성을 고려한 3D 적층 칩 구조가 제시된다는 주장"", ""세라믹 기판 캐비티 내 브릿지 칩으로 복수 반도체 칩을 연결하는 패키지가 제시된다는 주장"", ""효과로 고내압 유지, 항복 내성 확보, 회로 지연 억제, 동작 안정성 향상, 표면 평탄도 개선, 박리 및 전사 공정 안정화, 산화막 손실 저감, 패키지 열 특성 최적화 및 칩 간 전기적 연결성 향상을 제시한 부분""]"
3,True,203,minor,"[""세 텍스트가 모두 '특허 요약'이라는 명시는 child text에 직접적으로 제시되어 있지 않습니다."", ""첫 번째 기술의 '목적은 ... 효율적으로 수행하는 것'이라는 목적/효율성 진술은 동작 절차에서 추론 가능하지만 child text에 명시되어 있지 않습니다."", ""두 번째 기술의 '목적은 자연어 문장에서 엔티티와 관계 구조를 추출'이라는 목적 진술은 child text에 명시되어 있지 않으며, 입력은 '문장'이 아니라 자연어 형식의 입력 텍스트로만 표현됩니다."", ""세 번째 기술의 '목적은 ... 가중치를 보호하면서 실행 시 필요한 연산이 가능하도록 하는 것'이라는 목적 진술은 child text에 명시되어 있지 않습니다.""]"
8,False,204,none,[]
12,True,205,major,"[""ECC 처리 기술, NoC 상의 인라인 ECC 처리 회로, NoC 경유 메모리 트랜잭션의 ECC 계산은 child text에 제시되지 않는다."", ""메모리 다이와 로직 다이의 웨이퍼 본딩 구조 및 로직 다이로의 신호 전달은 child text에서 뒷받침되지 않는다."", ""제어 로직, 내부 처리 회로, ECC 회로, 센스 앰프 스트라이프, 트랜시버, 메모리 컨트롤러가 구성 요소로 포함된다는 주장은 child text에 근거가 없다."", ""내부 처리 결과에 대한 ECC 부호화 및 재저장은 child text에 없다."", ""수소 함유 금속층을 이용한 저항 변화 기반 비트 저장은 child text에 없다."", ""메모리 내부 또는 근접 위치에서 오류 정정을 수행해 데이터 이동을 줄인다는 목적은 child text에 제시된 내용으로 뒷받침되지 않는다.""]"
1,True,206,major,"[""각 PE 그룹이 제1 요소와 대응하는 제2 요소를 함께 수신하여 '연산을 수행한다'는 내용은 child text에 명시되어 있지 않습니다."", ""이 기술의 목적과 효과가 블록 단위 희소성을 활용해 데이터를 버퍼와 PE 그룹에 공급함으로써 희소화된 데이터에 대한 가속기 연산을 효율적으로 수행하는 데 있다는 설명은 child text에서 뒷받침되지 않습니다.""]"
3,False,207,none,[]
19,True,208,major,"[""멀티 노드·멀티 GPU 환경에서 GPU 수만 지정하면 유휴 GPU를 자동 할당하고 컨테이너를 생성한다는 주장"", ""주 GPU와 보조 GPU에 신경망 레이어를 분기 배치해 트리 구조로 최적화한다는 주장"", ""서브네트워크 수를 제한하고 드롭아웃 마스크를 생성하는 학습 방식이 포함된다는 주장"", ""사전 학습 모델의 일부 레이어 그룹만 압축 후 저장된 입출력 데이터로 재학습하는 국부 압축 방법이 포함된다는 주장"", ""FP 신경망을 이동 표적으로 삼아 바이너리 신경망과 커플링 로스를 통해 함께 학습하는 자기지도학습 방식이 포함된다는 주장"", ""위변조 탐지, 이미지 분류용 라벨 데이터 획득, 3차원 포인트 클라우드 객체 인지, 반도체 공정 이상 감지, 탄화수소 저장소 모델링 등 응용 분야가 포함된다는 주장"", ""지식 그래프 노드의 이진 임베딩 벡터 변환 및 질의 기반 노드 선택 기술이 포함된다는 주장"", ""입력 질의 및 후보 컨텍스트를 압축·선별해 동적 프롬프트를 구성하는 언어모델 관련 기술이 포함된다는 주장""]"
8,True,209,minor,"[""가중치 데이터 수를 줄이는 양자화 방법이 하드웨어 기반 신경망 연산 장치 구현에 필요한 연산 부담을 낮춘다는 효과는 child text에 명시적으로 뒷받침되지 않습니다.""]"
